Name,Match,nameStrPercent,matchStrPercent,nameWordPercent,matchWordPercent,Ticker,Exchange
ACES,"ACES Electronics Co., Ltd.",1.0,0.153846153846,1.0,0.5,3605.TW,TAI
Andiamo,Andiamo Corporation,1.0,0.368421052632,1.0,1.0,ANDID,PNK
Rabbit,Speed Rabbit Pizza,1.0,0.333333333333,1.0,0.333333333333,MLSRP.PA,PAR
Somos,Somos Educação S.A.,1.0,0.238095238095,1.0,0.5,SEDU3.SA,SAO
EOS,EOS Russia,1.0,0.3,1.0,0.5,V38.F,FRA
NPS,"NPS Pharmaceuticals, Inc.",1.0,0.12,1.0,0.5,NPSP,NMS
Hilliard,The Hilliard Corporation,1.0,0.333333333333,1.0,0.5,HLRD,PNK
Builder,Eaton Vance Global Income Builder NS,1.0,0.194444444444,1.0,0.25,EVGBC,NGM
Cybercom,Cybercom Group AB,1.0,0.470588235294,1.0,0.5,CYBE.ST,STO
NanoFocus,NanoFocus AG Inhaber-Aktien o.N,1.0,0.290322580645,1.0,0.333333333333,N2F.SG,STU
Carpenter,Carpenter Technology Corporation,1.0,0.28125,1.0,1.0,XTY.F,FRA
Spark,Spark Infrastructure Group,1.0,0.192307692308,1.0,0.5,SFDPF,PNK
WCM,WCM Beteiligungs- und Grundbesitz-AG,1.0,0.0833333333333,1.0,0.25,0QGK.L,LSE
Next,Next Fifteen Communications Group plc,1.0,0.108108108108,1.0,0.333333333333,NFC.L,LSE
A Schulman,"A. Schulman, Inc.",0.9,0.529411764706,1.0,1.0,SHLM,NMS
Atlas,Macquarie Atlas Roads Group,1.0,0.185185185185,1.0,0.333333333333,M82.F,FRA
AXIS,AXIS Capital Holdings Limited,1.0,0.137931034483,1.0,0.5,AXS-PD,NYQ
Jabil,Jabil Inc. Registered Shares DL,1.0,0.161290322581,1.0,0.5,JBL.SG,STU
MicroJet,"MicroJet Technology Co., Ltd.",1.0,0.275862068966,1.0,1.0,8197.TWO,TWO
TETRA,TETRA BIO-PHARMA INC.,1.0,0.238095238095,1.0,0.333333333333,JAM1.BE,BER
Olympus,Olympus Corporation,1.0,0.368421052632,1.0,1.0,OLY1.F,FRA
voestalpine AG,voestalpine AG Inhaber-Aktien o,1.0,0.451612903226,1.0,0.333333333333,VAS.SG,STU
Aerojet Rocketdyne,"Aerojet Rocketdyne Holdings, Inc.",1.0,0.545454545455,1.0,1.0,AJRD,NYQ
Global Graphics,Global Graphics SE,1.0,0.833333333333,1.0,1.0,GLOG.BR,BRU
JGC,JGC CORP. Registered Shares o.N,1.0,0.0967741935484,1.0,0.5,VJC.SG,STU
GKN,"GKN PLC LS -,10",1.0,0.2,1.0,0.333333333333,GKN.DU,DUS
BMP,BMP HOLDING AG O.N.,1.0,0.157894736842,1.0,0.5,BTBA.DU,DUS
3DX Industries,"3DX Industries, Inc.",1.0,0.7,1.0,1.0,DDDX,PNK
Zimmer,"Zimmer Biomet Holdings, Inc.",1.0,0.214285714286,1.0,0.5,ZIM.F,FRA
Caliber,"Caliber Imaging & Diagnostics, Inc.",1.0,0.2,1.0,0.333333333333,LCDX,PNK
Composite Solutions,Composite Solutions Inc.,1.0,0.791666666667,1.0,1.0,CPUT,PNK
CCP,CCP Technologies Limited,1.0,0.125,1.0,1.0,AGX.AX,ASX
RPM,"RPM INTERN. INC. DL-,01",1.0,0.130434782609,1.0,0.333333333333,RP8.BE,BER
Nectar,Nectar Lifesciences Limited,1.0,0.222222222222,1.0,0.5,NECLIFE.BO,BSE
Johnson Matthey,Johnson Matthey Plc,1.0,0.789473684211,1.0,0.666666666667,JMPLF,PNK
Digital Media Group,Progressive Digital Media Group PLC,1.0,0.542857142857,1.0,0.666666666667,PRO.L,LSE
Sonova,Sonova Holding AG,1.0,0.352941176471,1.0,0.5,PHBA.F,FRA
Amedica,Amedica Corporation,1.0,0.368421052632,1.0,1.0,111N.F,FRA
Abacus,Abacus Mining & Exploration Corporation,1.0,0.153846153846,1.0,0.333333333333,AME.V,VAN
Lockheed Martin,Lockheed Martin Corporation,1.0,0.555555555556,1.0,1.0,LMTB34F.SA,SAO
ACT GROUP,EXTRACT GROUP LTD O.N.,1.0,0.409090909091,0.5,0.5,EQ2.BE,BER
Siemens,"Siemens Gamesa Renewable Energy, S.A.",1.0,0.189189189189,1.0,0.333333333333,GTQ1.DE,GER
Oerlikon,OC Oerlikon Corporation AG,1.0,0.307692307692,1.0,0.5,OBH.F,FRA
